Date,Time,Locality_Name,Crime_Type
2020-01-01 00:00:00,01-01-2020 01:11,Ameerpet,IDENTITY THEFT
2020-01-01 01:00:00,01-01-2020 06:26,Charminar,HOMICIDE
2020-01-01 02:00:00,01-01-2020 14:30,Lingampally,KIDNAPPING
2020-01-01 03:00:00,01-01-2020 14:46,Patancheru,BURGLARY
2020-01-01 04:00:00,01-01-2020 16:51,Patancheru,VANDALISM
2020-01-01 05:00:00,01-01-2020 17:09,Falaknuma,ASSAULT
2020-01-01 06:00:00,01-01-2020 14:08,Charminar,VEHICLE - STOLEN
2020-01-01 07:00:00,02-01-2020 06:33,Charminar,COUNTERFEITING
2020-01-01 08:00:00,02-01-2020 06:34,Madhapur,EXTORTION
2020-01-01 09:00:00,01-01-2020 17:50,Charminar,PUBLIC INTOXICATION
2020-01-01 10:00:00,01-01-2020 19:42,Falaknuma,FRAUD
2020-01-01 11:00:00,01-01-2020 22:16,Saidabad,IDENTITY THEFT
2020-01-01 12:00:00,01-01-2020 23:14,Musheerabad,FRAUD
2020-01-01 13:00:00,01-01-2020 17:46,Madhapur,ASSAULT
2020-01-01 14:00:00,01-01-2020 22:28,Basheerbagh,SEXUAL ASSAULT
2020-01-01 15:00:00,01-01-2020 18:54,Kachiguda,COUNTERFEITING
2020-01-01 16:00:00,02-01-2020 02:57,gachibowli,DRUG OFFENSE
2020-01-01 17:00:00,01-01-2020 23:09,Patancheru,ARSON
2020-01-01 18:00:00,02-01-2020 10:42,Basheerbagh,CYBERCRIME
2020-01-01 19:00:00,02-01-2020 18:02,Basheerbagh,EXTORTION
2020-01-01 20:00:00,02-01-2020 02:33,Hyderguda,TRAFFIC VIOLATION
2020-01-01 21:00:00,02-01-2020 10:11,Madhapur,VANDALISM
2020-01-01 22:00:00,01-01-2020 22:03,Jahanuma,SHOPLIFTING
2020-01-01 23:00:00,01-01-2020 23:40,Charminar,VANDALISM
2020-01-02 00:00:00,02-01-2020 20:47,Basheerbagh,DRUG OFFENSE
2020-01-02 01:00:00,02-01-2020 08:21,Jahanuma,ASSAULT
2020-01-02 02:00:00,02-01-2020 04:02,Patancheru,IDENTITY THEFT
2020-01-02 03:00:00,02-01-2020 20:11,L B Nagar,PUBLIC INTOXICATION
2020-01-02 04:00:00,02-01-2020 19:56,Basheerbagh,VANDALISM
2020-01-02 05:00:00,02-01-2020 09:35,Begum Bazar,BURGLARY
2020-01-02 06:00:00,02-01-2020 13:06,Begum Bazar,HOMICIDE
2020-01-02 07:00:00,02-01-2020 15:05,Hyderguda,VANDALISM
2020-01-02 08:00:00,03-01-2020 03:01,Falaknuma,ILLEGAL POSSESSION
2020-01-02 09:00:00,03-01-2020 02:40,Pathargatti,VEHICLE - STOLEN
2020-01-02 10:00:00,02-01-2020 22:18,Kanchanbagh,VANDALISM
2020-01-02 11:00:00,02-01-2020 17:48,Charminar,COUNTERFEITING
2020-01-02 12:00:00,03-01-2020 00:18,L B Nagar,SEXUAL ASSAULT
2020-01-02 13:00:00,02-01-2020 18:04,Uppal,SHOPLIFTING
2020-01-02 14:00:00,02-01-2020 21:24,Saidabad,VEHICLE - STOLEN
2020-01-02 15:00:00,03-01-2020 14:05,Madhapur,FRAUD
2020-01-02 16:00:00,03-01-2020 01:51,Musheerabad,HOMICIDE
2020-01-02 17:00:00,03-01-2020 11:09,Saidabad,ILLEGAL POSSESSION
2020-01-02 18:00:00,03-01-2020 09:30,Falaknuma,FIREARM OFFENSE
2020-01-02 19:00:00,03-01-2020 08:34,Madhapur,SEXUAL ASSAULT
2020-01-02 20:00:00,03-01-2020 06:22,Kachiguda,ARSON
2020-01-02 21:00:00,03-01-2020 09:02,Pathargatti,DRUG OFFENSE
2020-01-02 22:00:00,03-01-2020 09:55,Falaknuma,ROBBERY
2020-01-02 23:00:00,03-01-2020 03:42,L B Nagar,FIREARM OFFENSE
2020-01-03 00:00:00,03-01-2020 02:59,Jahanuma,ILLEGAL POSSESSION
2020-01-03 01:00:00,03-01-2020 06:06,Hyderguda,DRUG OFFENSE
2020-01-03 02:00:00,03-01-2020 17:10,Nampally,BURGLARY
2020-01-03 03:00:00,03-01-2020 19:13,Kachiguda,BURGLARY
2020-01-03 04:00:00,03-01-2020 22:01,gachibowli,PUBLIC INTOXICATION
2020-01-03 05:00:00,03-01-2020 18:47,Falaknuma,BURGLARY
2020-01-03 06:00:00,03-01-2020 07:47,Patancheru,FIREARM OFFENSE
2020-01-03 07:00:00,03-01-2020 11:11,Malakpet,BURGLARY
2020-01-03 08:00:00,03-01-2020 20:16,Kanchanbagh,SEXUAL ASSAULT
2020-01-03 09:00:00,03-01-2020 09:43,Ameerpet,ASSAULT
2020-01-03 10:00:00,04-01-2020 02:40,Charminar,TRAFFIC VIOLATION
2020-01-03 11:00:00,04-01-2020 05:33,Shamshabad,SHOPLIFTING
2020-01-03 12:00:00,03-01-2020 15:04,Madhapur,SHOPLIFTING
2020-01-03 13:00:00,04-01-2020 03:32,Saidabad,DRUG OFFENSE
2020-01-03 14:00:00,04-01-2020 09:27,Charminar,FRAUD
